word,0,1,2,3,4
aback,a,b,a,c,k
abase,a,b,a,s,e
abate,a,b,a,t,e
abbey,a,b,b,e,y
abbot,a,b,b,o,t
abhor,a,b,h,o,r
abide,a,b,i,d,e
abled,a,b,l,e,d
abode,a,b,o,d,e
abort,a,b,o,r,t
about,a,b,o,u,t
above,a,b,o,v,e
abuse,a,b,u,s,e
abyss,a,b,y,s,s
acorn,a,c,o,r,n
acrid,a,c,r,i,d
actor,a,c,t,o,r
acute,a,c,u,t,e
adage,a,d,a,g,e
adapt,a,d,a,p,t
adept,a,d,e,p,t
admin,a,d,m,i,n
admit,a,d,m,i,t
adobe,a,d,o,b,e
adopt,a,d,o,p,t
adore,a,d,o,r,e
adorn,a,d,o,r,n
adult,a,d,u,l,t
affix,a,f,f,i,x
afire,a,f,i,r,e
afoot,a,f,o,o,t
afoul,a,f,o,u,l
after,a,f,t,e,r
again,a,g,a,i,n
agape,a,g,a,p,e
agate,a,g,a,t,e
agent,a,g,e,n,t
agile,a,g,i,l,e
aging,a,g,i,n,g
aglow,a,g,l,o,w
agony,a,g,o,n,y
agree,a,g,r,e,e
ahead,a,h,e,a,d
aider,a,i,d,e,r
aisle,a,i,s,l,e
alarm,a,l,a,r,m
album,a,l,b,u,m
alert,a,l,e,r,t
algae,a,l,g,a,e
alibi,a,l,i,b,i
alien,a,l,i,e,n
align,a,l,i,g,n
alike,a,l,i,k,e
alive,a,l,i,v,e
allay,a,l,l,a,y
alley,a,l,l,e,y
allot,a,l,l,o,t
allow,a,l,l,o,w
alloy,a,l,l,o,y
aloft,a,l,o,f,t
alone,a,l,o,n,e
along,a,l,o,n,g
aloof,a,l,o,o,f
aloud,a,l,o,u,d
alpha,a,l,p,h,a
altar,a,l,t,a,r
alter,a,l,t,e,r
amass,a,m,a,s,s
amaze,a,m,a,z,e
amber,a,m,b,e,r
amble,a,m,b,l,e
amend,a,m,e,n,d
amiss,a,m,i,s,s
amity,a,m,i,t,y
among,a,m,o,n,g
ample,a,m,p,l,e
amply,a,m,p,l,y
amuse,a,m,u,s,e
angel,a,n,g,e,l
anger,a,n,g,e,r
angle,a,n,g,l,e
angry,a,n,g,r,y
angst,a,n,g,s,t
anime,a,n,i,m,e
ankle,a,n,k,l,e
annex,a,n,n,e,x
annoy,a,n,n,o,y
annul,a,n,n,u,l
anode,a,n,o,d,e
antic,a,n,t,i,c
anvil,a,n,v,i,l
aorta,a,o,r,t,a
apart,a,p,a,r,t
aphid,a,p,h,i,d
aping,a,p,i,n,g
apnea,a,p,n,e,a
apple,a,p,p,l,e
apply,a,p,p,l,y
apron,a,p,r,o,n
aptly,a,p,t,l,y
arbor,a,r,b,o,r
ardor,a,r,d,o,r
arena,a,r,e,n,a
argue,a,r,g,u,e
arise,a,r,i,s,e
armor,a,r,m,o,r
aroma,a,r,o,m,a
arose,a,r,o,s,e
array,a,r,r,a,y
arrow,a,r,r,o,w
arson,a,r,s,o,n
artsy,a,r,t,s,y
ascot,a,s,c,o,t
ashen,a,s,h,e,n
aside,a,s,i,d,e
askew,a,s,k,e,w
assay,a,s,s,a,y
asset,a,s,s,e,t
atoll,a,t,o,l,l
atone,a,t,o,n,e
attic,a,t,t,i,c
audio,a,u,d,i,o
audit,a,u,d,i,t
augur,a,u,g,u,r
aunty,a,u,n,t,y
avail,a,v,a,i,l
avert,a,v,e,r,t
avian,a,v,i,a,n
avoid,a,v,o,i,d
await,a,w,a,i,t
awake,a,w,a,k,e
award,a,w,a,r,d
aware,a,w,a,r,e
awash,a,w,a,s,h
awful,a,w,f,u,l
awoke,a,w,o,k,e
axial,a,x,i,a,l
axiom,a,x,i,o,m
axion,a,x,i,o,n
azure,a,z,u,r,e
bacon,b,a,c,o,n
badge,b,a,d,g,e
badly,b,a,d,l,y
bagel,b,a,g,e,l
baggy,b,a,g,g,y
baker,b,a,k,e,r
baler,b,a,l,e,r
balmy,b,a,l,m,y
banal,b,a,n,a,l
banjo,b,a,n,j,o
barge,b,a,r,g,e
baron,b,a,r,o,n
basal,b,a,s,a,l
basic,b,a,s,i,c
basil,b,a,s,i,l
basin,b,a,s,i,n
basis,b,a,s,i,s
baste,b,a,s,t,e
batch,b,a,t,c,h
bathe,b,a,t,h,e
baton,b,a,t,o,n
batty,b,a,t,t,y
bawdy,b,a,w,d,y
bayou,b,a,y,o,u
beach,b,e,a,c,h
beady,b,e,a,d,y
beard,b,e,a,r,d
beast,b,e,a,s,t
beech,b,e,e,c,h
beefy,b,e,e,f,y
befit,b,e,f,i,t
began,b,e,g,a,n
begat,b,e,g,a,t
beget,b,e,g,e,t
begin,b,e,g,i,n
begun,b,e,g,u,n
being,b,e,i,n,g
belch,b,e,l,c,h
belie,b,e,l,i,e
belle,b,e,l,l,e
belly,b,e,l,l,y
below,b,e,l,o,w
bench,b,e,n,c,h
beret,b,e,r,e,t
berry,b,e,r,r,y
berth,b,e,r,t,h
beset,b,e,s,e,t
betel,b,e,t,e,l
bevel,b,e,v,e,l
bezel,b,e,z,e,l
bible,b,i,b,l,e
bicep,b,i,c,e,p
biddy,b,i,d,d,y
bigot,b,i,g,o,t
bilge,b,i,l,g,e
billy,b,i,l,l,y
binge,b,i,n,g,e
bingo,b,i,n,g,o
biome,b,i,o,m,e
birch,b,i,r,c,h
birth,b,i,r,t,h
bison,b,i,s,o,n
bitty,b,i,t,t,y
black,b,l,a,c,k
blade,b,l,a,d,e
blame,b,l,a,m,e
bland,b,l,a,n,d
blank,b,l,a,n,k
blare,b,l,a,r,e
blast,b,l,a,s,t
blaze,b,l,a,z,e
bleak,b,l,e,a,k
bleat,b,l,e,a,t
bleed,b,l,e,e,d
bleep,b,l,e,e,p
blend,b,l,e,n,d
bless,b,l,e,s,s
blimp,b,l,i,m,p
blind,b,l,i,n,d
blink,b,l,i,n,k
bliss,b,l,i,s,s
blitz,b,l,i,t,z
bloat,b,l,o,a,t
block,b,l,o,c,k
bloke,b,l,o,k,e
blond,b,l,o,n,d
blood,b,l,o,o,d
bloom,b,l,o,o,m
blown,b,l,o,w,n
bluer,b,l,u,e,r
bluff,b,l,u,f,f
blunt,b,l,u,n,t
blurb,b,l,u,r,b
blurt,b,l,u,r,t
blush,b,l,u,s,h
board,b,o,a,r,d
boast,b,o,a,s,t
bobby,b,o,b,b,y
boney,b,o,n,e,y
bongo,b,o,n,g,o
bonus,b,o,n,u,s
booby,b,o,o,b,y
boost,b,o,o,s,t
booth,b,o,o,t,h
booty,b,o,o,t,y
booze,b,o,o,z,e
boozy,b,o,o,z,y
borax,b,o,r,a,x
borne,b,o,r,n,e
bosom,b,o,s,o,m
bossy,b,o,s,s,y
botch,b,o,t,c,h
bough,b,o,u,g,h
boule,b,o,u,l,e
bound,b,o,u,n,d
bowel,b,o,w,e,l
boxer,b,o,x,e,r
brace,b,r,a,c,e
braid,b,r,a,i,d
brain,b,r,a,i,n
brake,b,r,a,k,e
brand,b,r,a,n,d
brash,b,r,a,s,h
brass,b,r,a,s,s
brave,b,r,a,v,e
bravo,b,r,a,v,o
brawl,b,r,a,w,l
